,0,1,2,3,4,5,6,7,8,9,10,11,12,qc_mean,qc_max
Signal regional prominence,0.7781408935360106,0.6511177775836398,0.5222244140587552,0.9910000102678418,0.8075000022266714,0.9346860116477256,0.9363716854002623,0.8624052539228485,0.8585275115783509,,,,,0.8157748400246785,0.9910000102678418
Intensity/Harmonic Intensity (top 5 %),9.24502455761512,7.367891849824824,0.7190738639947484,22.83842340286099,22.585312495533913,62.81569752330102,11.507137447484808,7.29779584851485,6.5739998731338805,5.553999892736033,,,,15.65043567550002,62.81569752330102
Harmonic Intensity,1343.0613501081477,23909.200272193695,25699.20090468196,3367.18563193516,5570.084561764385,8.781000174801491,4783.269196133084,3806.583865461453,,,,,,8560.920847806587,25699.20090468196
SNR Top 5%,0.8609999929854473,0.5907892551561031,0.8092364472570706,0.5402601577064652,0.5427664161239745,0.39899999750329396,0.9605000096715994,0.9614999915731723,0.5012094449754334,0.7439999939428397,0.8806724156626966,0.8933560769614448,0.8645609647485049,0.7345270126360035,0.9614999915731723
Signal intensity,0.4999999789910703,3.499999909257781,5.999999860533421,,,,,,,,,,,3.333333249594091,5.999999860533421
SNR,0.3910000010043888,0.3369902704764128,0.1804641527586515,0.25879339946092084,0.3424277097921629,0.38300000519652944,0.38150000186374955,0.3574939515573816,,,,,,0.3289586865137747,0.3910000010043888
HROI Change Intensity,405.7668700427122,417.27771255580836,380.0150708250216,376.3026494596557,149.53100140848557,175.2335462481015,1305.3004826480299,300.66600354700114,411.07941077712144,409.5679870314309,1398.8904940497052,666.1103273514555,,532.9784629953774,1398.8904940497052
Signal Intensity Top 5%,1202162.53563983,70.99999843127125,844351.9999848306,850054.0001478493,1211338.0045854151,,,,,,,,,821595.5080712712,1211338.0045854151
