,Value
cv,StratifiedKFold
k_folds,10
cv_accuracy,0.9428775872578378
cv_f1,0.9446966567925026
cv_recall,0.9747792757071109
cv_precision,0.9167241839885294
train_score,0.9732402559627691
test_score,0.9796747967479674
